"Item ","Fire
Mode ","Damage/Shot Color Legend : Shot(s) to Kill","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","1","","2","","3","","","4","","","5","","6","","","7","","","8","","9","","","","",""
"ASSAULT RIFLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gallant Rifle","Burst 3","45.15","22.575","19.979","18.681","17.383","16.085","14.787","12.191","","135.45","33.863","29.968","29.968","26.074","24.127","22.18","18.286","","27.09","18.06","15.983","14.945","13.906","12.868","11.829","9.752"
"","Burst 5","45.15","22.575","19.979","18.681","17.383","16.085","14.787","12.191","","135.45","33.863","29.968","29.968","26.074","24.127","22.18","18.286","","27.09","18.06","15.983","14.945","13.906","12.868","11.829","9.752"
"Karna Rifle","Rapid","37.625","18.813","16.649","15.567","14.486","13.404","12.322","10.159","","112.875","28.219","24.974","24.974","21.728","20.106","18.483","15.238","","22.575","15.05","13.319","12.454","11.589","10.723","9.858","8.127"
"","Single","37.625","18.813","16.649","15.567","14.486","13.404","12.322","10.159","","112.875","28.219","24.974","24.974","21.728","20.106","18.483","15.238","","22.575","15.05","13.319","12.454","11.589","10.723","9.858","8.127"
"","Charge Single","225.75","112.875","99.894","93.404","86.914","80.423","73.933","60.953","","677.25","169.313","149.842","149.842","130.371","120.635","110.9","91.429","","135.45","90.3","79.916","74.723","69.531","64.339","59.147","48.762"
"Killshot Rifle","Rapid Physical","47.3","23.65","20.93","19.57","18.211","16.851","15.491","12.771","","141.9","35.475","31.395","31.395","27.316","25.276","23.236","19.156","","28.38","18.92","16.744","15.656","14.568","13.481","12.393","10.217"
"","Rapid Energy","40.85","20.425","18.076","16.902","15.727","14.553","13.378","11.03","","122.55","30.638","27.114","27.114","23.591","21.829","20.068","16.544","","24.51","16.34","14.461","13.521","12.582","11.642","10.703","8.824"
"","Combined R","47.3","23.65","20.93","19.57","18.211","16.851","15.491","12.771","","141.9","35.475","31.395","31.395","27.316","25.276","23.236","19.156","","28.38","18.92","16.744","15.656","14.568","13.481","12.393","10.217"
"P4-AR Rifle","Rapid","25.8","12.9","11.417","10.675","9.933","9.191","8.449","6.966","","77.4","19.35","17.125","17.125","14.899","13.787","12.674","10.449","","15.48","10.32","9.133","8.54","7.946","7.353","6.76","5.573"
"","Single","25.8","12.9","11.417","10.675","9.933","9.191","8.449","6.966","","77.4","19.35","17.125","17.125","14.899","13.787","12.674","10.449","","15.48","10.32","9.133","8.54","7.946","7.353","6.76","5.573"
"P8-AR Rifle","Single","96.75","48.375","42.812","40.03","37.249","34.467","31.686","26.123","","290.25","72.563","64.218","64.218","55.873","51.701","47.528","39.184","","58.05","38.7","34.25","32.024","29.799","27.574","25.349","20.898"
"Parallax Rifle","Beam","17.64","8.82","7.806","7.299","6.791","6.284","5.777","4.763","","52.92","13.23","11.709","11.709","10.187","9.426","8.666","7.144","","10.584","7.056","6.245","5.839","5.433","5.027","4.622","3.81"
"","Rapid Heat","32.76","16.38","14.496","13.554","12.613","11.671","10.729","8.845","","98.28","24.57","21.744","21.744","18.919","17.506","16.093","13.268","","19.656","13.104","11.597","10.844","10.09","9.337","8.583","7.076"
"","Combined","32.76","16.38","14.496","13.554","12.613","11.671","10.729","8.845","","98.28","24.57","21.744","21.744","18.919","17.506","16.093","13.268","","19.656","13.104","11.597","10.844","10.09","9.337","8.583","7.076"
"S71 Rifle","Single","46.225","23.113","20.455","19.126","17.797","16.468","15.139","12.481","","138.675","34.669","30.682","30.682","26.695","24.701","22.708","18.721","","27.735","18.49","16.364","15.3","14.237","13.174","12.111","9.985"
"LMG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Demeco LMG","Rapid","24.725","12.362","10.941","10.23","9.519","8.808","8.097","6.676","","74.175","18.544","16.411","16.411","14.279","13.212","12.146","10.014","","14.835","9.89","8.753","8.184","7.615","7.047","6.478","5.341"
"F55 LMG","Rapid","21.5","10.75","9.514","8.896","8.278","7.659","7.041","5.805","","64.5","16.125","14.271","14.271","12.416","11.489","10.562","8.708","","12.9","8.6","7.611","7.116","6.622","6.127","5.633","4.644"
"Fresnel LMG","Rapid  Heat","21.6","10.8","9.558","8.937","8.316","7.695","7.074","5.832","","64.8","16.2","14.337","14.337","12.474","11.543","10.611","8.748","","12.96","8.64","7.646","7.15","6.653","6.156","5.659","4.666"
"","Rapid  Heat 50%","75.6","37.8","33.453","31.28","29.106","26.933","24.759","20.412","","226.8","56.7","50.18","50.18","43.659","40.399","37.139","30.618","","45.36","30.24","26.762","25.024","23.285","21.546","19.807","16.33"
"FS-9 LMG","Rapid","31.175","15.587","13.795","12.899","12.002","11.106","10.21","8.417","","93.525","23.381","20.692","20.692","18.004","16.659","15.315","12.626","","18.705","12.47","11.036","10.319","9.602","8.885","8.168","6.734"
"Pulverizer LMG","Rapid","58.05","29.025","25.687","24.018","22.349","20.68","19.011","15.674","","174.15","43.537","38.531","38.531","33.524","31.02","28.517","23.51","","34.83","23.22","20.55","19.215","17.879","16.544","15.209","12.539"
"PISTOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arclight Pistol","Burst 3","38.7","19.35","17.125","16.012","14.899","13.787","12.674","10.449","","116.1","29.025","25.687","25.687","22.349","20.68","19.011","15.673","","23.22","15.48","13.7","12.81","11.92","11.029","10.139","8.359"
"","Single","38.7","19.35","17.125","16.012","14.899","13.787","12.674","10.449","","116.1","29.025","25.687","25.687","22.349","20.68","19.011","15.674","","23.22","15.48","13.7","12.81","11.92","11.029","10.139","8.359"
"Coda Pistol","Single","129","64.5","57.083","53.374","49.665","45.956","42.248","34.83","","387","96.75","85.624","85.624","74.498","68.934","63.371","52.245","","77.4","51.6","45.666","42.699","39.732","36.765","33.798","27.864"
