"Item ","","Hit
pellets ","Detailed Pellets Damage/Click Color Legend : Shot(s) to Kill","","","","","","","","","","","","","","","","","","","","","",""
"","","","1","","","2","","3","","4","","","5","","6","","7","","","8","","9","","",""
"BR-2
Shotgun
Single","BR-2 Shotgun Single","1","23.65","11.825","10.465125","9.7851875","9.10525","7.745375","6.3855","","70.95","17.7375","15.6976875","15.6976875","13.657875","11.6180625","9.57825","","14.19","9.46","8.3721","7.82815","7.2842","6.1963","5.1084"
"","BR-2 Shotgun Single","2","47.3","23.65","20.93025","19.570375","18.2105","15.49075","12.771","","141.9","35.475","31.395375","31.395375","27.31575","23.236125","19.1565","","28.38","18.92","16.7442","15.6563","14.5684","12.3926","10.2168"
"","BR-2 Shotgun Single","3","70.95","35.475","31.395375","29.3555625","27.31575","23.236125","19.1565","","212.85","53.2125","47.0930625","47.0930625","40.973625","34.8541875","28.73475","","42.57","28.38","25.1163","23.48445","21.8526","18.5889","15.3252"
"","BR-2 Shotgun Single","4","94.6","47.3","41.8605","39.14075","36.421","30.9815","25.542","","283.8","70.95","62.79075","62.79075","54.6315","46.47225","38.313","","56.76","37.84","33.4884","31.3126","29.1368","24.7852","20.4336"
"","BR-2 Shotgun Single","5","118.25","59.125","52.325625","48.9259375","45.52625","38.726875","31.9275","","354.75","88.6875","78.4884375","78.4884375","68.289375","58.0903125","47.89125","","70.95","47.3","41.8605","39.14075","36.421","30.9815","25.542"
"","BR-2 Shotgun Single","6","141.9","70.95","62.79075","58.711125","54.6315","46.47225","38.313","","425.7","106.425","94.186125","94.186125","81.94725","69.708375","57.4695","","85.14","56.76","50.2326","46.9689","43.7052","37.1778","30.6504"
"","BR-2 Shotgun Single","7","165.55","82.775","73.255875","68.4963125","63.73675","54.217625","44.6985","","496.65","124.1625","109.8838125","109.8838125","95.605125","81.3264375","67.04775","","99.33","66.22","58.6047","54.79705","50.9894","43.3741","35.7588"
"","BR-2 Shotgun Single","8","189.2","94.6","83.721","78.2815","72.842","61.963","51.084","","567.6","141.9","125.5815","125.5815","109.263","92.9445","76.626","","113.52","75.68","66.9768","62.6252","58.2736","49.5704","40.8672"
"Deadrig
Shotgun
Single","Deadrig Shotgun Single","1","19.35","9.675","8.562375","8.0060625","7.44975","6.337125","5.2245","","58.05","14.5125","12.8435625","12.8435625","11.174625","9.5056875","7.83675","","11.61","7.74","6.8499","6.40485","5.9598","5.0697","4.1796"
"","Deadrig Shotgun Single","2","38.7","19.35","17.12475","16.012125","14.8995","12.67425","10.449","","116.1","29.025","25.687125","25.687125","22.34925","19.011375","15.6735","","23.22","15.48","13.6998","12.8097","11.9196","10.1394","8.3592"
"","Deadrig Shotgun Single","3","58.05","29.025","25.687125","24.0181875","22.34925","19.011375","15.6735","","174.15","43.5375","38.5306875","38.5306875","33.523875","28.5170625","23.51025","","34.83","23.22","20.5497","19.21455","17.8794","15.2091","12.5388"
"","Deadrig Shotgun Single","4","77.4","38.7","34.2495","32.02425","29.799","25.3485","20.898","","232.2","58.05","51.37425","51.37425","44.6985","38.02275","31.347","","46.44","30.96","27.3996","25.6194","23.8392","20.2788","16.7184"
"","Deadrig Shotgun Single","5","96.75","48.375","42.811875","40.0303125","37.24875","31.685625","26.1225","","290.25","72.5625","64.2178125","64.2178125","55.873125","47.5284375","39.18375","","58.05","38.7","34.2495","32.02425","29.799","25.3485","20.898"
"","Deadrig Shotgun Single","6","116.1","58.05","51.37425","48.036375","44.6985","38.02275","31.347","","348.3","87.075","77.061375","77.061375","67.04775","57.034125","47.0205","","69.66","46.44","41.0994","38.4291","35.7588","30.4182","25.0776"
"","Deadrig Shotgun Single","7","135.45","67.725","59.936625","56.0424375","52.14825","44.359875","36.5715","","406.35","101.5875","89.9049375","89.9049375","78.222375","66.5398125","54.85725","","81.27","54.18","47.9493","44.83395","41.7186","35.4879","29.2572"
"","Deadrig Shotgun Single","8","154.8","77.4","68.499","64.0485","59.598","50.697","41.796","","464.4","116.1","102.7485","102.7485","89.397","76.0455","62.694","","92.88","61.92","54.7992","51.2388","47.6784","40.5576","33.4368"
"","Deadrig Shotgun Single","9","174.15","87.075","77.061375","72.0545625","67.04775","57.034125","47.0205","","522.45","130.6125","115.5920625","115.5920625","100.571625","85.5511875","70.53075","","104.49","69.66","61.6491","57.64365","53.6382","45.6273","37.6164"
"","Deadrig Shotgun Single","10","193.5","96.75","85.62375","80.060625","74.4975","63.37125","52.245","","580.5","145.125","128.435625","128.435625","111.74625","95.056875","78.3675","","116.1","77.4","68.499","64.0485","59.598","50.697","41.796"
"","Deadrig Shotgun Single","11","212.85","106.425","94.186125","88.0666875","81.94725","69.708375","57.4695","","638.55","159.6375","141.2791875","141.2791875","122.920875","104.5625625","86.20425","","127.71","85.14","75.3489","70.45335","65.5578","55.7667","45.9756"
"","Deadrig Shotgun Single","12","232.2","116.1","102.7485","96.07275","89.397","76.0455","62.694","","696.6","174.15","154.12275","154.12275","134.0955","114.06825","94.041","","139.32","92.88","82.1988","76.8582","71.5176","60.8364","50.1552"
"","Deadrig Shotgun Single","13","251.55","125.775","111.310875","104.0788125","96.84675","82.382625","67.9185","","754.65","188.6625","166.9663125","166.9663125","145.270125","123.5739375","101.87775","","150.93","100.62","89.0487","83.26305","77.4774","65.9061","54.3348"
"","Deadrig Shotgun Single","14","270.9","135.45","119.87325","112.084875","104.2965","88.71975","73.143","","812.7","203.175","179.809875","179.809875","156.44475","133.079625","109.7145","","162.54","108.36","95.8986","89.6679","83.4372","70.9758","58.5144"
"","Deadrig Shotgun Single","15","290.25","145.125","128.435625","120.0909375","111.74625","95.056875","78.3675","","870.75","217.6875","192.6534375","192.6534375","167.619375","142.5853125","117.55125","","174.15","116.1","102.7485","96.07275","89.397","76.0455","62.694"
"","Deadrig Shotgun Single","16","309.6","154.8","136.998","128.097","119.196","101.394","83.592","","928.8","232.2","205.497","205.497","178.794","152.091","125.388","","185.76","123.84","109.5984","102.4776","95.3568","81.1152","66.8736"
"Devastator
Shotgun
Single","Devastator Shotgun Single","1","21.5","10.75","9.51375","8.895625","8.2775","7.04125","5.805","","64.5","16.125","14.270625","14.270625","12.41625","10.561875","8.7075","","12.9","8.6","7.611","7.1165","6.622","5.633","4.644"
"","Devastator Shotgun Single","2","43","21.5","19.0275","17.79125","16.555","14.0825","11.61","","129","32.25","28.54125","28.54125","24.8325","21.12375","17.415","","25.8","17.2","15.222","14.233","13.244","11.266","9.288"
