"         Stat
Type ","Player Status Initial
Value ","Stat
Value Min ","Max ","Decay
Rate ","Base
Decay
Cooldown ","Initial
Cooldown ","Cooldown
Type ","Decay
To
Current
Status ","Mutually
Exclusive
Statuses ","Remote
Client
Predicted ","Use
Ideal
Stat
Value ","Linked Stat Linked
Stat ","Crossed
Below
Threshold ","Pass
Excess
Below Threshold","Multiplier","Pass
Crossing
Above
Threshold ","Pass
Custom
Value ","Pass
Increase
To
Value ","Actor
Status
Type ","Default
Status
Trigger
Threshold Min","Max","Probabilistic
Status Trigger Min
Threshold ","Probability
Interp Threshold Min ","Max","Guaranteed
Threshold ","Max Status
Range
Threshold ","Probability Min ","Max ","Cooldown ","Check
Type ","Status
Effect
Type ","Trigger
Threshold Min ","Max ","Effect Min ","Max ","Value At
Min ","At
Max ","Value ","Damage Ignores
Multiplier ","Over
Time Damage At Min","Max","To Death Over Time Damage
Curve
Multiplier ","Damaged
Parts ","Non
Linear Base ","Min ","Falloff ","","","","","","",""
"Stun","0","0","200","10","7","0","Time","0","0","1","1","","","","","","","","Concussion","50","200","","","","","","","","","","Ear Ringing","50","100","50","90","0","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Double Vision","50","100","50","95","0.235","0.55","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pass Out Unconscious","100","200","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Muffled Audio","100","200","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stun Decay","100","200","100","200","1","3","","","","","","","","","","","","","","","",""
"Health
Pool","100","0","100","0","0","0","Time","0","0","1","1","Downed
Damage","0","0","1","0","-70","","Low Health","0","0","","","","","","","","","","Hurt","0","90","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Downed","0","0","","","","","","","","","","Pass Out Downed","0","0","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Status Damage Multiplier","0","0","","","","","0.00035","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Status Damage Cap","0","0","","","","","2","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Downed Damage Decay","0","0","","","","","-0.013","","","","","","","","","","","","","","",""
"Health
Head","30","0","30","0","0","0","Time","0","0","1","1","Health Pool","","","","","","","Damaged","0","0","","","","","","","","","","Bleed","0","0","0","0","","","","0","0.35","0.35","","","","","","","","","","","",""
"","","","","","","","","","","","","Wear Head","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Health
Torso","60","0","60","0","0","0","Time","0","0","1","1","Health Pool","","","","","","","Damaged","0","0","","","","","","","","","","Bleed","0","0","0","0","","","","0","0.35","0.35","","","","","","","","","","","",""
"","","","","","","","","","","","","Wear Torso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Health
Left Arm","36","0","36","0","0","0","Time","0","0","1","1","Health Pool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Wear Left Arm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Health
Right Arm","36","0","36","0","0","0","Time","0","0","1","1","Health Pool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Wear Right Arm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Health
Left Leg","48","0","48","0","0","0","Time","0","0","1","1","Health Pool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Wear Left Leg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Health
Right Leg","48","0","48","0","0","0","Time","0","0","1","1","Health Pool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Wear Right Leg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pressure","1","0","100","0","0","0","Time","0","0","0","1","","","","","","","","Depressurization","0","0.15","","","","","","","","","","Depressurization Damage","0","0.15","0.15","0","","","","1","0","4","","","","","","","","","","","",""
"Gas
Saturation O2","1","0","1","0","0","0","Time","0","0","0","1","","","","","","","","Poor Atmosphere
Quality","0","0.95","","","","","","","","","","Suffocation","0","0.9","","","","","0.012","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Suffocation Damage","0","0.1","0.1","0","","","","1","0","2","","","","","","","","","","","",""
"Body
Temperature","36.5","0","100","0","0","0","Time","0","0","0","1","","","","","","","","Hypothermia","0","35","","","","","","","","","","Muffled Audio","0","35","35","31","0","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shivering","0","35","35","31","0","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Light Sensitivity","0","35","35","29","0","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hypothermia Damage","0","31","31","24","","","","0","","","1.5","left/right arm, left/right leg","","","","","","","","","",""
