"Item ","Fire
Mode ","Time To Kill (secondes) Color Legend : Shot(s) to Kill","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","1","","2","","3","","","4","","","5","","6","","","7","","","8","","9","","","","",""
"ASSAULT RIFLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gallant Rifle","Burst 3","0.119","0.488","0.548","0.548","0.548","0.857","0.857","0.976","","0","0.119","0.429","0.429","0.429","0.488","0.488","0.548","","0.429","0.548","0.857","0.857","0.917","0.917","0.976","1.345"
"","Burst 5","0.13","0.26","0.675","0.675","0.675","0.74","0.74","0.869","","0","0.13","0.195","0.195","0.195","0.26","0.26","0.675","","0.195","0.675","0.74","0.74","0.805","0.805","0.869","1.349"
"Karna Rifle","Rapid","0.179","0.446","0.536","0.536","0.536","0.625","0.714","0.804","","0","0.268","0.357","0.357","0.357","0.357","0.446","0.536","","0.357","0.536","0.625","0.714","0.714","0.804","0.893","1.071"
"","Single","0.306","0.765","0.918","0.918","0.918","1.071","1.224","1.378","","0","0.459","0.612","0.612","0.612","0.612","0.765","0.918","","0.612","0.918","1.071","1.224","1.224","1.378","1.531","1.837"
"","Charge Single","0","0","2.153","2.153","2.153","2.153","2.153","2.153","","0","0","0","0","0","0","0","2.153","","0","2.153","2.153","2.153","2.153","2.153","2.153","4.306"
"Killshot Rifle","Rapid Physical","0.401","0.801","0.801","1.001","1.001","1.001","1.202","1.402","","0","0.401","0.601","0.601","0.601","0.601","0.801","1.001","","0.601","1.001","1.001","1.202","1.202","1.402","1.602","1.802"
"","Rapid Energy","0.401","0.801","1.001","1.001","1.202","1.202","1.402","1.802","","0","0.601","0.601","0.601","0.801","0.801","0.801","1.202","","0.801","1.202","1.202","1.402","1.402","1.602","1.802","2.203"
"","Combined R","0.2","0.401","0.501","0.501","0.501","0.601","0.601","0.801","","0","0.2","0.3","0.3","0.3","0.401","0.401","0.501","","0.3","0.501","0.601","0.601","0.701","0.701","0.801","1.001"
"P4-AR Rifle","Rapid","0.198","0.463","0.529","0.595","0.661","0.661","0.728","0.926","","0.066","0.331","0.331","0.331","0.397","0.463","0.463","0.595","","0.397","0.595","0.661","0.728","0.794","0.86","0.926","1.124"
"","Single","0.429","1","1.143","1.286","1.429","1.429","1.571","2","","0.143","0.714","0.714","0.714","0.857","1","1","1.286","","0.857","1.286","1.429","1.571","1.714","1.857","2","2.429"
"P8-AR Rifle","Single","0.228","0.456","0.456","0.456","0.456","0.456","0.684","0.684","","0","0.228","0.228","0.228","0.228","0.228","0.456","0.456","","0.228","0.456","0.456","0.684","0.684","0.684","0.684","0.912"
"Parallax Rifle","Beam","0.189","0.378","0.427","0.457","0.491","0.53","0.577","0.7","","0.063","0.252","0.285","0.285","0.327","0.354","0.385","0.467","","0.315","0.472","0.534","0.571","0.614","0.663","0.721","0.875"
"","Rapid Heat","0.296","0.582","0.582","0.674","0.674","0.766","0.857","1.035","","0.1","0.393","0.393","0.393","0.488","0.488","0.582","0.674","","0.488","0.674","0.766","0.857","0.857","0.946","1.035","1.295"
"","Combined","0.296","0.582","0.582","0.674","0.674","0.766","0.857","0.965","","0.1","0.393","0.393","0.393","0.488","0.488","0.582","0.674","","0.488","0.674","0.766","0.857","0.857","0.946","0.987","1.14"
"S71 Rifle","Single","0.286","0.571","0.571","0.714","0.714","0.857","0.857","1.143","","0","0.286","0.429","0.429","0.429","0.571","0.571","0.714","","0.429","0.714","0.857","0.857","1","1","1.143","1.429"
"LMG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Demeco LMG","Rapid","0.268","0.536","0.603","0.603","0.67","0.737","0.804","0.938","","0.067","0.335","0.402","0.402","0.469","0.469","0.536","0.603","","0.402","0.67","0.737","0.804","0.871","0.938","1.004","1.205"
"F55 LMG","Rapid","0.179","0.402","0.446","0.491","0.536","0.58","0.625","0.759","","0.045","0.268","0.313","0.313","0.357","0.357","0.402","0.491","","0.313","0.491","0.58","0.625","0.67","0.714","0.759","0.938"
"Fresnel LMG","Rapid  Heat","0.448","0.804","0.804","0.927","0.927","1.052","1.052","1.309","","0.109","0.564","0.564","0.564","0.683","0.683","0.804","0.927","","0.683","0.927","1.052","1.052","1.179","1.179","1.309","1.575"
"","Rapid  Heat 50%","0.182","0.367","0.367","0.557","0.557","0.557","0.557","0.751","","0","0.182","0.182","0.182","0.367","0.367","0.367","0.557","","0.367","0.557","0.557","0.557","0.751","0.751","0.751","0.949"
"FS-9 LMG","Rapid","0.247","0.495","0.577","0.577","0.659","0.742","0.742","0.907","","0.082","0.33","0.33","0.33","0.412","0.495","0.495","0.577","","0.412","0.659","0.742","0.742","0.824","0.907","0.989","1.154"
"Pulverizer LMG","Rapid","0.151","0.453","0.453","0.604","0.604","0.604","0.755","0.905","","0","0.302","0.302","0.302","0.302","0.453","0.453","0.604","","0.302","0.604","0.604","0.755","0.755","0.905","0.905","1.056"
"PISTOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arclight Pistol","Burst 3","0.153","0.483","0.483","0.659","0.659","0.736","0.736","0.989","","0","0.33","0.33","0.33","0.406","0.406","0.483","0.659","","0.406","0.659","0.736","0.736","0.812","0.989","0.989","1.142"
"","Single","0.286","0.714","0.714","0.857","0.857","1","1","1.286","","0","0.429","0.429","0.429","0.571","0.571","0.714","0.857","","0.571","0.857","1","1","1.143","1.286","1.286","1.571"
"Coda Pistol","Single","0","0.298","0.298","0.298","0.595","0.595","0.595","0.595","","0","0.298","0.298","0.298","0.298","0.298","0.298","0.298","","0.298","0.298","0.595","0.595","0.595","0.595","0.595","0.893"
"LH86 Pistol","Rapid","0.169","0.395","0.451","0.451","0.508","0.564","0.564","0.733","","0.056","0.226","0.282","0.282","0.338","0.338","0.395","0.451","","0.282","0.451","0.564","0.564","0.62","0.677","0.733","0.902"
