"Item ","Fire
Mode ","Damage/Shot Color Legend : Shot(s) to Kill","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","1","","2","","3","","","4","","","5","","6","","","7","","","8","","9","","","","",""
"ASSAULT RIFLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gallant Rifle","Burst 3","42","21","18.9","17.85","16.8","15.75","14.7","12.6","","126","31.5","28.35","28.35","25.2","23.625","22.05","18.9","","25.2","16.8","15.12","14.28","13.44","12.6","11.76","10.08"
"","Burst 5","42","21","18.9","17.85","16.8","15.75","14.7","12.6","","126","31.5","28.35","28.35","25.2","23.625","22.05","18.9","","25.2","16.8","15.12","14.28","13.44","12.6","11.76","10.08"
"Karna Rifle","Rapid","35","17.5","15.75","14.875","14","13.125","12.25","10.5","","105","26.25","23.625","23.625","21","19.688","18.375","15.75","","21","14","12.6","11.9","11.2","10.5","9.8","8.4"
"","Single","35","17.5","15.75","14.875","14","13.125","12.25","10.5","","105","26.25","23.625","23.625","21","19.688","18.375","15.75","","21","14","12.6","11.9","11.2","10.5","9.8","8.4"
"","Charge Single","210","105","94.5","89.25","84","78.75","73.5","63","","630","157.5","141.75","141.75","126","118.125","110.25","94.5","","126","84","75.6","71.4","67.2","63","58.8","50.4"
"Killshot Rifle","Rapid Physical","44","22","19.8","18.7","17.6","16.5","15.4","13.2","","132","33","29.7","29.7","26.4","24.75","23.1","19.8","","26.4","17.6","15.84","14.96","14.08","13.2","12.32","10.56"
"","Rapid Energy","38","19","17.1","16.15","15.2","14.25","13.3","11.4","","114","28.5","25.65","25.65","22.8","21.375","19.95","17.1","","22.8","15.2","13.68","12.92","12.16","11.4","10.64","9.12"
"","Combined R","44","22","19.8","18.7","17.6","16.5","15.4","13.2","","132","33","29.7","29.7","26.4","24.75","23.1","19.8","","26.4","17.6","15.84","14.96","14.08","13.2","12.32","10.56"
"P4-AR Rifle","Rapid","24","12","10.8","10.2","9.6","9","8.4","7.2","","72","18","16.2","16.2","14.4","13.5","12.6","10.8","","14.4","9.6","8.64","8.16","7.68","7.2","6.72","5.76"
"","Single","24","12","10.8","10.2","9.6","9","8.4","7.2","","72","18","16.2","16.2","14.4","13.5","12.6","10.8","","14.4","9.6","8.64","8.16","7.68","7.2","6.72","5.76"
"P8-AR Rifle","Single","90","45","40.5","38.25","36","33.75","31.5","27","","270","67.5","60.75","60.75","54","50.625","47.25","40.5","","54","36","32.4","30.6","28.8","27","25.2","21.6"
"Parallax Rifle","Beam","14","7","6.3","5.95","5.6","5.25","4.9","4.2","","42","10.5","9.45","9.45","8.4","7.875","7.35","6.3","","8.4","5.6","5.04","4.76","4.48","4.2","3.92","3.36"
"","Rapid Heat","26","13","11.7","11.05","10.4","9.75","9.1","7.8","","78","19.5","17.55","17.55","15.6","14.625","13.65","11.7","","15.6","10.4","9.36","8.84","8.32","7.8","7.28","6.24"
"","Combined","26","13","11.7","11.05","10.4","9.75","9.1","7.8","","78","19.5","17.55","17.55","15.6","14.625","13.65","11.7","","15.6","10.4","9.36","8.84","8.32","7.8","7.28","6.24"
"S71 Rifle","Single","43","21.5","19.35","18.275","17.2","16.125","15.05","12.9","","129","32.25","29.025","29.025","25.8","24.188","22.575","19.35","","25.8","17.2","15.48","14.62","13.76","12.9","12.04","10.32"
"LMG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Demeco LMG","Rapid","23","11.5","10.35","9.775","9.2","8.625","8.05","6.9","","69","17.25","15.525","15.525","13.8","12.938","12.075","10.35","","13.8","9.2","8.28","7.82","7.36","6.9","6.44","5.52"
"F55 LMG","Rapid","20","10","9","8.5","8","7.5","7","6","","60","15","13.5","13.5","12","11.25","10.5","9","","12","8","7.2","6.8","6.4","6","5.6","4.8"
"Fresnel LMG","Rapid  Heat","18","9","8.1","7.65","7.2","6.75","6.3","5.4","","54","13.5","12.15","12.15","10.8","10.125","9.45","8.1","","10.8","7.2","6.48","6.12","5.76","5.4","5.04","4.32"
"","Rapid  Heat 50%","63","31.5","28.35","26.775","25.2","23.625","22.05","18.9","","189","47.25","42.525","42.525","37.8","35.438","33.075","28.35","","37.8","25.2","22.68","21.42","20.16","18.9","17.64","15.12"
"FS-9 LMG","Rapid","29","14.5","13.05","12.325","11.6","10.875","10.15","8.7","","87","21.75","19.575","19.575","17.4","16.313","15.225","13.05","","17.4","11.6","10.44","9.86","9.28","8.7","8.12","6.96"
"Pulverizer LMG","Rapid","54","27","24.3","22.95","21.6","20.25","18.9","16.2","","162","40.5","36.45","36.45","32.4","30.375","28.35","24.3","","32.4","21.6","19.44","18.36","17.28","16.2","15.12","12.96"
"PISTOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arclight Pistol","Burst 3","36","18","16.2","15.3","14.4","13.5","12.6","10.8","","108","27","24.3","24.3","21.6","20.25","18.9","16.2","","21.6","14.4","12.96","12.24","11.52","10.8","10.08","8.64"
"","Single","36","18","16.2","15.3","14.4","13.5","12.6","10.8","","108","27","24.3","24.3","21.6","20.25","18.9","16.2","","21.6","14.4","12.96","12.24","11.52","10.8","10.08","8.64"
"Coda Pistol","Single","120","60","54","51","48","45","42","36","","360","90","81","81","72","67.5","63","54","","72","48","43.2","40.8","38.4","36","33.6","28.8"
"LH86 Pistol","Rapid","26","13","11.7","11.05","10.4","9.75","9.1","7.8","","78","19.5","17.55","17.55","15.6","14.625","13.65","11.7","","15.6","10.4","9.36","8.84","8.32","7.8","7.28","6.24"
"Pulse Pistol","Rapid Heat","23.5","11.75","10.575","9.987","9.4","8.813","8.225","7.05","","70.5","17.625","15.863","15.863","14.1","13.219","12.337","10.575","","14.1","9.4","8.46","7.99","7.52","7.05","6.58","5.64"
