"Item ","Fire
Mode ","Shots To Kill Color Legend : Shot(s) to Kill","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","1","","2","","3","","","4","","","5","","6","","","7","","","8","","9","","","","",""
"ASSAULT RIFLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gallant Rifle","Burst 3","3","5","6","6","6","7","7","8","","1","4","4","4","4","5","5","6","","4","6","7","8","8","8","9","10"
"","Burst 5","3","5","6","6","6","7","7","8","","1","4","4","4","4","5","5","6","","4","6","7","8","8","8","9","10"
"Karna Rifle","Rapid","3","6","7","7","8","8","9","10","","1","4","5","5","5","6","6","7","","5","8","8","9","9","10","11","12"
"","Single","3","6","7","7","8","8","9","10","","1","4","5","5","5","6","6","7","","5","8","8","9","9","10","11","12"
"","Charge Single","1","1","2","2","2","2","2","2","","1","1","1","1","1","1","1","2","","1","2","2","2","2","2","2","2"
"Killshot Rifle","Rapid Physical","3","5","6","6","6","7","7","8","","1","4","4","4","4","5","5","6","","4","6","7","7","8","8","9","10"
"","Rapid Energy","3","6","6","7","7","8","8","9","","1","4","4","4","5","5","6","6","","5","7","8","8","9","9","10","11"
"","Combined R","3","5","6","6","7","7","7","9","","1","4","4","4","5","5","5","6","","5","7","7","8","8","9","9","11"
"P4-AR Rifle","Rapid","5","9","10","10","11","12","12","14","","2","6","7","7","7","8","8","10","","7","11","12","13","14","14","15","18"
"","Single","5","9","10","10","11","12","12","14","","2","6","7","7","7","8","8","10","","7","11","12","13","14","14","15","18"
"P8-AR Rifle","Single","2","3","3","3","3","3","4","4","","1","2","2","2","2","2","3","3","","2","3","4","4","4","4","4","5"
"Parallax Rifle","Beam","8","15","16","17","18","20","21","24","","3","10","11","11","12","13","14","16","","12","18","20","22","23","24","26","30"
"","Rapid Heat","4","8","9","10","10","11","11","13","","2","6","6","6","7","7","8","9","","7","10","11","12","13","13","14","17"
"","Combined","4","8","9","10","10","11","11","15","","2","6","6","6","7","7","8","9","","7","10","11","12","13","15","17","21"
"S71 Rifle","Single","3","5","6","6","6","7","7","8","","1","4","4","4","4","5","5","6","","4","6","7","7","8","8","9","10"
"LMG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Demeco LMG","Rapid","5","9","10","11","11","12","13","15","","2","6","7","7","8","8","9","10","","8","11","13","13","14","15","16","19"
"F55 LMG","Rapid","5","10","12","12","13","14","15","17","","2","7","8","8","9","9","10","12","","9","13","14","15","16","17","18","21"
"Fresnel LMG","Rapid  Heat","5","9","9","10","10","11","11","12","","2","6","7","7","8","8","8","9","","8","10","11","11","12","12","13","15"
"","Rapid  Heat 50%","2","4","4","4","4","5","5","6","","1","3","3","3","3","3","3","4","","3","4","5","5","5","6","6","7"
"FS-9 LMG","Rapid","4","7","8","9","9","10","10","12","","2","5","6","6","6","7","7","8","","6","9","10","11","11","12","13","15"
"Pulverizer LMG","Rapid","2","4","5","5","5","5","6","7","","1","3","3","3","4","4","4","5","","4","5","6","6","6","7","7","8"
"PISTOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arclight Pistol","Burst 3","3","6","7","7","7","8","8","10","","1","4","5","5","5","5","6","7","","5","7","8","9","9","10","10","12"
"","Single","3","6","7","7","7","8","8","10","","1","4","5","5","5","5","6","7","","5","7","8","9","9","10","10","12"
"Coda Pistol","Single","1","2","2","2","3","3","3","3","","1","2","2","2","2","2","2","2","","2","3","3","3","3","3","3","4"
"LH86 Pistol","Rapid","4","8","9","10","10","11","11","13","","2","6","6","6","7","7","8","9","","7","10","11","12","13","13","14","17"
"Pulse Pistol","Rapid Heat","5","9","10","11","11","12","13","15","","2","6","7","7","8","8","9","10","","8","11","12","13","14","15","16","18"
"","Rapid Heat 50%","5","9","10","11","11","12","13","15","","2","6","7","7","8","8","9","10","","8","11","12","13","14","15","16","18"
"S-38 Pistol","Single","3","5","5","6","6","6","7","8","","1","3","4","4","4","4","5","5","","4","6","7","7","7","8","8","10"
"Salvo Frag Pistol","Single","2","3","3","3","3","3","4","4","","1","2","2","2","2","2","3","3","","2","3","4","4","4","4","4","5"
"","Charge Single","1","2","2","2","2","2","2","2","","1","1","1","1","1","1","2","2","","1","2","2","2","2","2","2","3"
"Tripledown Pistol","Single","1","1","2","2","2","2","2","2","","1","1","1","1","1","1","1","2","","1","2","2","2","2","2","2","2"
"WowBlast Desperado Toy Pistol","Single","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yubarev Pistol","Single","2","3","4","4","4","4","4","5","","1","2","2","2","3","3","3","4","","3","4","4","4","5","5","5","6"
"SHOTGUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BR-2 Shotgun","Single","1","2","2","2","2","2","2","2","","1","1","1","1","1","2","2","2","","1","2","2","2","2","2","3","3"
"Deadrig Shotgun","Single","1","1","1","1","1","1","1","2","","1","1","1","1","1","1","1","1","","1","1","1","2","2","2","2","2"
"Devastator Shotgun","Single","1","1","1","1","2","2","2","2","","1","1","1","1","1","1","1","1","","1","2","2","2","2","2","2","2"
"","Charge Single","1","1","1","1","1","1","1","2","","1","1","1","1","1","1","1","1","","1","1","1","1","2","2","2","2"
"Prism Shotgun","Slug","1","2","3","3","3","3","3","4","","1","2","2","2","2","2","2","3","","2","3","3","3","4","4","4","5"
"","Single","2","3","3","3","3","3","4","4","","1","2","2","2","2","2","3","3","","2","3","4","4","4","4","4","5"
"","Combined S","2","3","3","3","3","3","4","4","","1","2","2","2","2","2","3","3","","2","3","4","4","4","4","4","5"
"R97 Shotgun","Rapid","2","4","4","5","5","5","5","6","","1","3","3","3","3","4","4","4","","3","5","5","6","6","6","7","8"
"","Single","2","3","3","3","3","3","3","4","","1","2","2","2","2","2","2","3","","2","3","3","4","4","4","4","5"
"Ravager-212 Twin Shotgun","Single","1","2","3","3","3","3","3","4","","1","2","2","2","2","2","2","3","","2","3","3","3","4","4","4","5"
