"Item ","Fire
Mode ","Spread Min ","Max ","First Attack ","Attack ","Decay ","Delay ","Spread Min Underbarrel:","Max ","First Attack ","Attack ","Decay No","Decay/Shot ","/Shot ","/s ","ADS Spread Min Barrel: No","Max ","First Attack ","Attack ","Decay ","Decay/Shot ","/Shot ","/s ","ADS Spread Modifier (Multiplier) Min ","Max ","First Attack ","Attack ","Decay ","Additive ","Charge Spread Modifier (Multiplier) Min ","Max ","First Attack ","Attack ","Decay ","Additive "
"","","","","","","","","1","1","1","1","1","","","","1","1","1","1","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","",""
"ASSAULT RIFLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gallant Rifle","Burst 3","0.05","2.41","1.21","1.03","5","0","0.05","2.41","1.21","1.03","5","0.333","0.697","10.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"","Burst 5","0.05","2.41","1.21","1.03","5","0","0.05","2.41","1.21","1.03","5","0.364","0.666","9.163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Karna Rifle","Rapid","1","7","1.8","1.8","6","0","1","7","1.8","1.8","6","0.6","1.2","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"","Single","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"","Charge Single","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0"
"Killshot Rifle","Rapid Physical","0.4","3","0.5","0.5","3","0.09","0.4","3","0.5","0.5","3","0.403","0.097","0.433","0","0.75","0.25","0.25","2.25","0.302","-0.052","-0.233","0","0.25","0.5","0.5","0.75","0","","","","","",""
"","Rapid Energy","0.4","3","0.5","0.5","3","0.09","0.4","3","0.5","0.5","3","0.403","0.097","0.433","0","0.75","0.25","0.25","2.25","0.302","-0.052","-0.233","0","0.25","0.5","0.5","0.75","0","","","","","",""
"","Combined R","0.4","3","0.5","0.5","3","0.09","0.4","3","0.5","0.5","3","0.403","0.097","0.433","0","0.75","0.25","0.25","2.25","0.302","-0.052","-0.233","0","0.25","0.5","0.5","0.75","0","","","","","",""
"P4-AR Rifle","Rapid","0.18","5","1.35","1.25","6.5","0","0.18","5","1.35","1.25","6.5","0.481","0.769","10.375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"","Single","0.15","1.89","1.45","1.35","4","0","0.15","1.89","1.45","1.35","4","0.571","0.779","5.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"P8-AR Rifle","Single","4.5","7.5","4.5","2","4","0","4.5","7.5","4.5","2","4","1.021","0.979","3.833","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Parallax Rifle","Beam","0.5","3","0.5","0.25","0.5","0","0.5","3","0.5","0.25","0.5","0.05","0.2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"","Rapid Heat","0.5","3","0.5","0.25","0.4","0","0.5","3","0.5","0.25","0.4","0.04","0.21","2.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"","Combined","0.5","3","0.5","0.25","0.4","0","0.5","3","0.5","0.25","0.4","0.037","0.213","2.275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"S71 Rifle","Single","3","6","1","1","5.5","0","3","6","1","1","5.5","0.786","0.214","1.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"LMG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Demeco LMG","Rapid","0.2","6","2.5","2.5","10","0","0.2","6","2.5","2.5","10","0.75","1.75","23.333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"F55 LMG","Rapid","3","6.5","1.2","1.2","4","0","3","6.5","1.2","1.2","4","0.2","1","20","0","0","1.2","1.2","0","0","1.2","24","0","0","1","1","0","0","","","","","",""
"Fresnel LMG","Rapid  Heat","1","4","2.5","2.5","1","0","1","4","2.5","2.5","1","0.109","2.391","21.917","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"","Rapid  Heat 50%","1","4","2.5","2.5","1","0","1","4","2.5","2.5","1","0.182","2.318","12.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"FS-9 LMG","Rapid","2","7.5","2","2","3","0","2","7.5","2","2","3","0.277","1.723","18.667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Pulverizer LMG","Rapid","2","7.5","2","1","3","0","2","7.5","2","1","3","0.507","0.493","2.917","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"PISTOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arclight Pistol","Burst 3","0.08","2.94","1.24","1.24","3","0","0.08","2.94","1.24","1.24","3","0.257","0.983","11.467","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"","Single","0.08","2.94","1.24","1.24","3","0","0.08","2.94","1.24","1.24","3","0.429","0.811","5.68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Coda Pistol","Single","0.75","7","1.35","3","0.5","0","0.75","7","1.35","3","0.5","0.167","2.833","8.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"LH86 Pistol","Rapid","0","1.5","0.2","0.2","0.3","0","0","1.5","0.2","0.2","0.3","0.019","0.181","2.867","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Pulse Pistol","Rapid Heat","0","2.15","0.4","0.4","0.5","0","0","2.15","0.4","0.4","0.5","0.06","0.34","2.833","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"","Rapid Heat 50%","0","2.15","0.4","0.4","0.5","0","0","2.15","0.4","0.4","0.5","0.04","0.36","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"S-38 Pistol","Single","0.1","5","1","2","3","0","0.1","5","1","2","3","0.429","1.571","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Salvo Frag Pistol","Single","0.22","3.1","1.4","1.4","3","0","0.22","3.1","1.4","1.4","3","1.059","0.341","0.967","0.22","3.1","0.84","0.84","2.4","0.847","-0.007","-0.02","1","1","0.6","0.6","0.8","0","","","","","",""
"","Charge Single","0.22","3.1","1.4","1.4","3","0","2.86","6.2","2.8","2.8","3","0.429","2.371","16.6","2.86","6.2","1.68","1.68","2.4","0.343","1.337","9.36","1","1","0.6","0.6","0.8","0","13","2","2","2","1","0"
"Tripledown Pistol","Single","2.7","6","1.333333333","1.333333333","1.333333333","0","2.7","6","1.333333333","1.333333333","1.333333333","1.333","0","0","1.49","3.3","0.73","0.73","1.33","1.33","-0.6","-0.6","0.55","0.55","0.55","0.55","1","0","","","","","",""
"WowBlast Desperado Toy Pistol","Single","0.1","3.22","1.35","1.35","3","0","0.1","3.22","1.35","1.35","3","2.857","-1.507","-1.583","0","1.61","0.81","0.81","2.4","2.286","-1.476","-1.55","0","0.5","0.6","0.6","0.8","0","","","","","",""
