"Item ","Fire
Mode ","Time To Kill (secondes) Color Legend : Shot(s) to Kill","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","1","","2","","3","","","4","","","5","","6","","","7","","","8","","9","","","","",""
"ASSAULT RIFLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gallant Rifle","Burst 3","0.133","0.517","0.583","0.583","0.583","0.9","0.9","0.967","","0","0.45","0.45","0.45","0.45","0.517","0.517","0.583","","0.45","0.583","0.9","0.967","0.967","0.967","1.033","1.35"
"","Burst 5","0.145","0.291","0.714","0.714","0.714","0.786","0.786","0.859","","0","0.218","0.218","0.218","0.218","0.291","0.291","0.714","","0.218","0.714","0.786","0.859","0.859","0.859","0.932","1.005"
"Karna Rifle","Rapid","0.2","0.5","0.6","0.6","0.7","0.7","0.8","0.9","","0","0.3","0.4","0.4","0.4","0.5","0.5","0.6","","0.4","0.7","0.7","0.8","0.8","0.9","1","1.1"
"","Single","0.343","0.857","1.029","1.029","1.2","1.2","1.371","1.543","","0","0.514","0.686","0.686","0.686","0.857","0.857","1.029","","0.686","1.2","1.2","1.371","1.371","1.543","1.714","1.886"
"","Charge Single","0","0","2.171","2.171","2.171","2.171","2.171","2.171","","0","0","0","0","0","0","0","2.171","","0","2.171","2.171","2.171","2.171","2.171","2.171","2.171"
"Killshot Rifle","Rapid Physical","0.449","0.897","1.121","1.121","1.121","1.346","1.346","1.57","","0","0.673","0.673","0.673","0.673","0.897","0.897","1.121","","0.673","1.121","1.346","1.346","1.57","1.57","1.794","2.019"
"","Rapid Energy","0.449","1.121","1.121","1.346","1.346","1.57","1.57","1.794","","0","0.673","0.673","0.673","0.897","0.897","1.121","1.121","","0.897","1.346","1.57","1.57","1.794","1.794","2.019","2.243"
"","Combined R","0.224","0.449","0.561","0.561","0.673","0.673","0.673","0.897","","0","0.336","0.336","0.336","0.449","0.449","0.449","0.561","","0.449","0.673","0.673","0.785","0.785","0.897","0.897","1.121"
"P4-AR Rifle","Rapid","0.296","0.593","0.667","0.667","0.741","0.815","0.815","0.963","","0.074","0.37","0.444","0.444","0.444","0.519","0.519","0.667","","0.444","0.741","0.815","0.889","0.963","0.963","1.037","1.259"
"","Single","0.571","1.143","1.286","1.286","1.429","1.571","1.571","1.857","","0.143","0.714","0.857","0.857","0.857","1","1","1.286","","0.857","1.429","1.571","1.714","1.857","1.857","2","2.429"
"P8-AR Rifle","Single","0.255","0.511","0.511","0.511","0.511","0.511","0.766","0.766","","0","0.255","0.255","0.255","0.255","0.255","0.511","0.511","","0.255","0.511","0.766","0.766","0.766","0.766","0.766","1.021"
"Parallax Rifle","Beam","0.238","0.476","0.529","0.56","0.595","0.635","0.68","0.794","","0.079","0.317","0.353","0.353","0.397","0.423","0.454","0.529","","0.397","0.595","0.661","0.7","0.744","0.794","0.85","0.992"
"","Rapid Heat","0.296","0.674","0.766","0.857","0.857","0.946","0.946","1.123","","0.1","0.488","0.488","0.488","0.582","0.582","0.674","0.766","","0.582","0.857","0.946","1.035","1.123","1.123","1.209","1.464"
"","Combined","0.296","0.674","0.766","0.857","0.857","0.946","0.946","1.059","","0.1","0.488","0.488","0.488","0.582","0.582","0.674","0.766","","0.582","0.857","0.946","0.966","1.01","1.059","1.116","1.258"
"S71 Rifle","Single","0.286","0.571","0.714","0.714","0.714","0.857","0.857","1","","0","0.429","0.429","0.429","0.429","0.571","0.571","0.714","","0.429","0.714","0.857","0.857","1","1","1.143","1.286"
"LMG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Demeco LMG","Rapid","0.3","0.6","0.675","0.75","0.75","0.825","0.9","1.05","","0.075","0.375","0.45","0.45","0.525","0.525","0.6","0.675","","0.525","0.75","0.9","0.9","0.975","1.05","1.125","1.35"
"F55 LMG","Rapid","0.2","0.45","0.55","0.55","0.6","0.65","0.7","0.8","","0.05","0.3","0.35","0.35","0.4","0.4","0.45","0.55","","0.4","0.6","0.65","0.7","0.75","0.8","0.85","1"
"Fresnel LMG","Rapid  Heat","0.448","0.927","0.927","1.052","1.052","1.179","1.179","1.309","","0.109","0.564","0.683","0.683","0.804","0.804","0.804","0.927","","0.804","1.052","1.179","1.179","1.309","1.309","1.441","1.712"
"","Rapid  Heat 50%","0.182","0.557","0.557","0.557","0.557","0.751","0.751","0.949","","0","0.367","0.367","0.367","0.367","0.367","0.367","0.557","","0.367","0.557","0.751","0.751","0.751","0.949","0.949","1.151"
"FS-9 LMG","Rapid","0.277","0.554","0.646","0.738","0.738","0.831","0.831","1.015","","0.092","0.369","0.462","0.462","0.462","0.554","0.554","0.646","","0.462","0.738","0.831","0.923","0.923","1.015","1.108","1.292"
"Pulverizer LMG","Rapid","0.169","0.507","0.676","0.676","0.676","0.676","0.845","1.014","","0","0.338","0.338","0.338","0.507","0.507","0.507","0.676","","0.507","0.676","0.845","0.845","0.845","1.014","1.014","1.183"
"PISTOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arclight Pistol","Burst 3","0.171","0.529","0.714","0.714","0.714","0.8","0.8","1.071","","0","0.357","0.443","0.443","0.443","0.443","0.529","0.714","","0.443","0.714","0.8","0.886","0.886","1.071","1.071","1.243"
"","Single","0.286","0.714","0.857","0.857","0.857","1","1","1.286","","0","0.429","0.571","0.571","0.571","0.571","0.714","0.857","","0.571","0.857","1","1.143","1.143","1.286","1.286","1.571"
"Coda Pistol","Single","0","0.333","0.333","0.333","0.667","0.667","0.667","0.667","","0","0.333","0.333","0.333","0.333","0.333","0.333","0.333","","0.333","0.667","0.667","0.667","0.667","0.667","0.667","1"
"LH86 Pistol","Rapid","0.189","0.442","0.505","0.568","0.568","0.632","0.632","0.758","","0.063","0.316","0.316","0.316","0.379","0.379","0.442","0.505","","0.379","0.568","0.632","0.695","0.758","0.758","0.821","1.011"
